work_id,state,district,mp_name,mp_party,lok_sabha_term,work_category,implementing_agency,vendor_name,sanction_date,sanctioned_amount_inr,expenditure_inr,status,completion_date,is_anomaly,anomaly_type
MPLAD100000,Karnataka,Mysuru,MP_059,Party_D,17th,School Building Repair,State Electricity Board,Vendor_096,2020-12-06,539768.8,171494.7,Ongoing,,0,none
MPLAD100001,Rajasthan,Udaipur,MP_044,Party_B,18th,Sports Infrastructure,Panchayati Raj Department,Vendor_085,2021-07-24,1376126.04,552395.81,Ongoing,,0,none
MPLAD100002,Punjab,Amritsar,MP_064,Party_D,18th,Solar Street Lighting,Zila Parishad,Vendor_094,2022-06-29,2369203.93,1896641.96,Completed,2022-11-29,1,fund_splitting
MPLAD100003,Haryana,Gurugram,MP_138,Party_B,18th,School Building Repair,Municipal Corporation,Vendor_102,2022-05-12,2500000.0,0.0,Sanctioned - Not Started,,1,round_number_invoice
MPLAD100004,Telangana,Hyderabad,MP_041,Independent,17th,Bridge/Culvert Construction,District Rural Development Agency,Vendor_034,2024-09-22,5542477.96,6261698.6,Completed,2025-05-18,1,cost_overrun
MPLAD100005,Punjab,Jalandhar,MP_139,Party_A,18th,Cremation/Burial Ground Development,Zila Parishad,Vendor_023,2023-07-24,421474.76,335018.43,Completed,2024-02-04,0,none
MPLAD100006,Maharashtra,Mumbai,MP_067,Party_C,17th,School Building Repair,District Rural Development Agency,Vendor_008,2022-07-05,566409.13,339644.3,Ongoing,,0,none
MPLAD100007,Chhattisgarh,Raipur,MP_020,Party_C,17th,Community Hall Construction,State PWD Division,Vendor_073,2020-02-27,3982418.08,472130.98,Delayed,,0,none
MPLAD100008,Kerala,Kozhikode,MP_043,Independent,18th,Anganwadi Centre Construction,Public Works Department,Vendor_012,2023-03-01,1078940.1,19802.89,Sanctioned - Not Started,,1,fiscal_year_end_dumping
MPLAD100009,Gujarat,Surat,MP_053,Party_D,17th,Public Toilet Complex,State PWD Division,Vendor_014,2021-07-13,917871.17,747933.92,Completed,2022-02-12,0,none
MPLAD100010,Haryana,Gurugram,MP_138,Party_B,18th,Public Toilet Complex,Jal Nigam,Vendor_103,2021-05-30,907100.89,776724.18,Completed,2021-11-27,0,none
MPLAD100011,Rajasthan,Udaipur,MP_023,Party_D,18th,Sports Infrastructure,Zila Parishad,Vendor_104,2019-10-06,1070367.93,893248.8,Completed,2019-12-30,0,none
MPLAD100012,Karnataka,Mysuru,MP_019,Party_D,18th,Cremation/Burial Ground Development,State Electricity Board,Vendor_093,2020-07-25,1046294.15,0.0,Sanctioned - Not Started,,0,none
MPLAD100013,Assam,Silchar,MP_016,Party_C,17th,Road Construction,Public Works Department,Vendor_116,2023-07-06,2356441.61,0.0,Sanctioned - Not Started,,0,none
MPLAD100014,Gujarat,Vadodara,MP_093,Party_A,18th,Cremation/Burial Ground Development,District Rural Development Agency,Vendor_075,2021-09-20,388841.96,162331.16,Delayed,,0,none
MPLAD100015,Bihar,Patna,MP_120,Party_C,17th,Anganwadi Centre Construction,State PWD Division,Vendor_008,2023-07-06,493879.71,0.0,Sanctioned - Not Started,,0,none
MPLAD100016,Kerala,Kochi,MP_086,Party_A,18th,Drainage System,Municipal Corporation,Vendor_115,2021-01-29,736533.01,212873.85,Ongoing,,0,none
MPLAD100017,Chhattisgarh,Raipur,MP_113,Party_B,18th,Bridge/Culvert Construction,Panchayati Raj Department,Vendor_069,2024-04-05,2341092.91,1461771.88,Ongoing,,0,none
MPLAD100018,Bihar,Bhagalpur,MP_070,Party_B,18th,School Building Repair,Municipal Corporation,Vendor_091,2024-07-14,1858289.96,925647.42,Ongoing,,0,none
MPLAD100019,Odisha,Cuttack,MP_079,Party_B,18th,Sports Infrastructure,State PWD Division,Vendor_120,2023-03-09,2469528.83,29782.31,Sanctioned - Not Started,,1,fiscal_year_end_dumping
MPLAD100020,Odisha,Cuttack,MP_010,Independent,18th,Cremation/Burial Ground Development,Zila Parishad,Vendor_069,2023-08-23,331183.46,21619.52,Delayed,,0,none
MPLAD100021,Odisha,Cuttack,MP_010,Independent,18th,School Building Repair,Zila Parishad,Vendor_014,2019-11-03,930441.97,371078.9,Ongoing,,0,none
MPLAD100022,Gujarat,Ahmedabad,MP_100,Party_A,17th,Cremation/Burial Ground Development,Panchayati Raj Department,Vendor_119,2022-04-15,1084473.7,0.0,Sanctioned - Not Started,,0,none
MPLAD100023,Punjab,Ludhiana,MP_124,Party_D,17th,Sports Infrastructure,Zila Parishad,Vendor_042,2023-11-05,672376.15,0.0,Sanctioned - Not Started,,0,none
MPLAD100024,Chhattisgarh,Raipur,MP_020,Party_C,17th,Cremation/Burial Ground Development,Municipal Corporation,Vendor_070,2022-12-28,973340.17,353706.26,Delayed,,0,none
MPLAD100025,Punjab,Jalandhar,MP_146,Independent,17th,Drinking Water Supply,Zila Parishad,Vendor_023,2023-09-23,1421466.92,0.0,Sanctioned - Not Started,,0,none
MPLAD100026,Karnataka,Mysuru,MP_062,Party_D,18th,Solar Street Lighting,Jal Nigam,Vendor_039,2023-08-03,505770.69,99211.66,Ongoing,,0,none
MPLAD100027,Assam,Guwahati,MP_133,Party_C,17th,Cremation/Burial Ground Development,Municipal Corporation,Vendor_065,2022-09-03,604156.0,0.0,Sanctioned - Not Started,,0,none
MPLAD100028,Chhattisgarh,Bilaspur,MP_081,Party_A,17th,Bridge/Culvert Construction,Zila Parishad,Vendor_007,2022-12-12,1588738.79,794879.51,Delayed,,0,none
MPLAD100029,Chhattisgarh,Bilaspur,MP_130,Party_B,18th,Irrigation Canal Repair,Municipal Corporation,Vendor_097,2020-11-14,2021222.64,1355430.48,Ongoing,,0,none
MPLAD100030,Madhya Pradesh,Indore,MP_038,Party_A,17th,Irrigation Canal Repair,Public Works Department,Vendor_094,2020-02-21,2109862.48,961352.0,Ongoing,,0,none
MPLAD100031,West Bengal,Kolkata,MP_054,Party_D,18th,Community Hall Construction,Zila Parishad,Vendor_043,2019-10-16,1200391.23,0.0,Sanctioned - Not Started,,0,none
MPLAD100032,West Bengal,Kolkata,MP_089,Party_B,17th,Irrigation Canal Repair,Municipal Corporation,Vendor_088,2023-10-17,1159279.22,0.0,Sanctioned - Not Started,,0,none
MPLAD100033,Andhra Pradesh,Guntur,MP_119,Independent,18th,Bridge/Culvert Construction,Jal Nigam,Vendor_100,2020-10-29,2317189.73,0.0,Sanctioned - Not Started,,0,none
MPLAD100034,West Bengal,Kolkata,MP_089,Party_B,17th,Library Construction,Public Works Department,Vendor_095,2023-01-01,947062.55,805814.97,Completed,2023-09-17,0,none
MPLAD100035,Odisha,Cuttack,MP_010,Independent,18th,Library Construction,State Electricity Board,Vendor_063,2021-06-27,887835.9,323689.46,Ongoing,,0,none
MPLAD100036,Assam,Silchar,MP_088,Party_D,17th,Bridge/Culvert Construction,Public Works Department,Vendor_099,2021-03-28,2650498.0,1606226.37,Ongoing,,0,none
MPLAD100037,Andhra Pradesh,Vijayawada,MP_116,Party_D,18th,Drainage System,Municipal Corporation,Vendor_111,2023-02-08,1103225.71,824896.15,Completed,2023-08-22,0,none
