work_id,state,district,mp_name,vendor_name,sanctioned_amount_inr,expenditure_inr,utilization_ratio,flag_fund_splitting,flag_fiscal_dumping,flag_cost_overrun,flag_ghost_fast,flag_round_invoice,iso_pred,composite_risk_score,final_pred
MPLAD100000,Karnataka,Mysuru,MP_059,Vendor_096,539768.8,171494.7,0.3177188084972677,0,0,0,0,0,1,15.4,0
MPLAD100001,Rajasthan,Udaipur,MP_044,Vendor_085,1376126.04,552395.81,0.40141367428814884,0,0,0,0,0,1,14.5,0
MPLAD100002,Punjab,Amritsar,MP_064,Vendor_094,2369203.93,1896641.96,0.8005397661146036,0,0,0,0,0,1,33.4,0
MPLAD100003,Haryana,Gurugram,MP_138,Vendor_102,2500000.0,0.0,0.0,0,0,0,0,1,1,60.0,1
MPLAD100004,Telangana,Hyderabad,MP_041,Vendor_034,5542477.96,6261698.6,1.1297651781731217,0,0,1,0,0,-1,90.0,1
MPLAD100005,Punjab,Jalandhar,MP_139,Vendor_023,421474.76,335018.43,0.7948718684838921,0,0,0,0,0,1,21.0,0
MPLAD100006,Maharashtra,Mumbai,MP_067,Vendor_008,566409.13,339644.3,0.599644818578401,0,0,0,0,0,1,21.4,0
MPLAD100007,Chhattisgarh,Raipur,MP_020,Vendor_073,3982418.08,472130.98,0.11855384605927662,0,0,0,0,0,1,15.3,0
MPLAD100008,Kerala,Kozhikode,MP_043,Vendor_012,1078940.1,19802.89,0.018354021692214423,0,1,0,0,0,-1,85.0,1
MPLAD100009,Gujarat,Surat,MP_053,Vendor_014,917871.17,747933.92,0.814857187419886,0,0,0,0,0,1,23.7,0
MPLAD100010,Haryana,Gurugram,MP_138,Vendor_103,907100.89,776724.18,0.8562709931857746,0,0,0,0,0,-1,39.7,1
MPLAD100011,Rajasthan,Udaipur,MP_023,Vendor_104,1070367.93,893248.8,0.8345250030052751,0,0,0,0,0,1,15.6,0
MPLAD100012,Karnataka,Mysuru,MP_019,Vendor_093,1046294.15,0.0,0.0,0,0,0,0,1,1,60.0,1
MPLAD100013,Assam,Silchar,MP_016,Vendor_116,2356441.61,0.0,0.0,0,0,0,0,1,-1,60.0,1
MPLAD100014,Gujarat,Vadodara,MP_093,Vendor_075,388841.96,162331.16,0.41747336115680517,0,0,0,0,0,1,37.3,0
MPLAD100015,Bihar,Patna,MP_120,Vendor_008,493879.71,0.0,0.0,0,0,0,0,1,-1,60.0,1
MPLAD100016,Kerala,Kochi,MP_086,Vendor_115,736533.01,212873.85,0.2890214655823776,0,0,0,0,0,1,22.3,0
MPLAD100017,Chhattisgarh,Raipur,MP_113,Vendor_069,2341092.91,1461771.88,0.624397209421304,0,0,0,0,0,1,12.4,0
MPLAD100018,Bihar,Bhagalpur,MP_070,Vendor_091,1858289.96,925647.42,0.4981178610037801,0,0,0,0,0,1,23.3,0
MPLAD100019,Odisha,Cuttack,MP_079,Vendor_120,2469528.83,29782.31,0.012059915899017871,0,1,0,0,0,1,85.0,1
MPLAD100020,Odisha,Cuttack,MP_010,Vendor_069,331183.46,21619.52,0.06527958853983831,0,0,0,0,0,1,17.0,0
MPLAD100021,Odisha,Cuttack,MP_010,Vendor_014,930441.97,371078.9,0.3988200360308339,0,0,0,0,0,1,19.5,0
MPLAD100022,Gujarat,Ahmedabad,MP_100,Vendor_119,1084473.7,0.0,0.0,0,0,0,0,1,-1,60.0,1
MPLAD100023,Punjab,Ludhiana,MP_124,Vendor_042,672376.15,0.0,0.0,0,0,0,0,1,1,60.0,1
MPLAD100024,Chhattisgarh,Raipur,MP_020,Vendor_070,973340.17,353706.26,0.3633942899942165,0,0,0,0,0,1,0.0,0
